Name,Category,Cuisine,lat,lng
Anne Elizabeth The Deli,restaurant,deli;barbecue;hotdog;steak_house;sausage;grill,3.0886082,101.7436480
Heritage Journey,fast_food,japanese,3.1460691,101.7118481
Satay Putera Kajang,restaurant,N/A,2.9927559,101.7863262
Station Cafe,cafe,N/A,3.1379878,101.6875075
Halab - Beremi,restaurant,arab,3.1475646,101.7103584
Sahara Tent,restaurant,N/A,3.1428095,101.7087339
Vintage 1988,cafe,cake;coffee_shop;deli,3.1428583,101.6985774
Ampersand,cafe,N/A,3.1461425,101.7116376
Vetri Bay Leaf Curry House,restaurant,N/A,2.9924412,101.7885106
India Gate,restaurant,N/A,3.1477084,101.7084409
Mixue,cafe,ice_cream;bubble_tea,3.1437953,101.6987392
Bonzer Corner,restaurant,N/A,3.1447150,101.7074474
Texas Chicken,fast_food,chicken,3.1455387,101.6974356
Bröom At Bukit Bintang,cafe,N/A,3.1435359,101.7048283
Next2Free,fast_food,N/A,3.1455215,101.7120778
Al-Sarifa,restaurant,indian,3.1465270,101.7083203
Bocado,restaurant,spanish,3.1495494,101.6651155
Amazins Thai Food,restaurant,N/A,3.1450327,101.7080848
Infusion Specialty Coffee Co,cafe,N/A,3.1504671,101.6157384
KLCG,restaurant,coffee_shop,3.1470962,101.6956792
Sushi Zanmai,restaurant,japanese,3.1332558,101.6866541
Triple Gold Kitchen,cafe,N/A,3.1461208,101.7095230
Wizards At Tribeca,restaurant,N/A,3.1461963,101.7156103
Halab Gate Shawarma,restaurant,N/A,3.1474480,101.7107892
OldTown White Coffee,cafe,coffee_shop;malaysian,3.1496027,101.7121899
Chinese Hawker Centre,food_court,N/A,3.1330606,101.6892872
Chinese Food & Baos,restaurant,N/A,3.1327782,101.6889460
Aachi Mess,restaurant,indian,3.1346109,101.6918461
Pizza Mansion,restaurant,N/A,3.1486286,101.7085598
Bunn Choon,cafe,chinese,3.1413522,101.6976066
Vinny Jeyaa,restaurant,indian,3.1432525,101.6958615
Simple Life Vegan Cafe,cafe,N/A,3.1462998,101.7119938
McDonald's,fast_food,burger,3.1047723,101.7328518
Hugo’s KL,restaurant,malaysian;western;pasta;burger,3.1483520,101.7078570
Restoran Char Siew Yoong,restaurant,chinese,3.1206172,101.7299668
Chuan Kee Hakka Restaurant,restaurant,chinese,3.1204101,101.7298774
Shawarma Damascus,fast_food,N/A,3.1456071,101.7113305
Wrap n'go,restaurant,N/A,3.1447940,101.6958470
KFC,fast_food,chicken,3.1055339,101.7323905
KFC,fast_food,chicken,3.1113471,101.7299857
Restoran Nasi Kandar Ali Maju,restaurant,N/A,3.1115444,101.7299179
Mingle Cafe,cafe,coffee_shop,3.1429692,101.6987448
Restoran Dhurbar,restaurant,asian;indian,3.1026929,101.7331783
Sakura Sushi,restaurant,japanese,3.1024889,101.7324086
Tosaya,restaurant,japanese,3.1029796,101.7330037
Restoran 21,restaurant,N/A,3.1017975,101.7333379
Tar Boosh,restaurant,N/A,3.1333137,101.6883467
Petaling Street Asam Laksa,fast_food,N/A,3.1437143,101.6976447
Warong Old China,restaurant,N/A,3.1449460,101.6967095
Kafei Dian,restaurant,coffee_shop;malaysian,3.1416022,101.6969755
Tarma,restaurant,arab;iraqi,3.1471725,101.7099667
Wu Li Tou Drunken Clam Noodle,restaurant,N/A,3.1447602,101.6986851
Molten Chocolate Cafe,cafe,N/A,3.1461860,101.7116255
Drift Restaurant & Bar,restaurant,N/A,3.1489357,101.7097068
Crispy Pork Noodles Soup,restaurant,N/A,3.1434742,101.6985467
Hana & Thyme,restaurant,international;local,3.1446142,101.7050156
Xin Ji Kitchen,restaurant,thai;malaysian,3.1459139,101.7086796
Indian Empire,restaurant,indian,3.1446742,101.7084908
Pobeda,restaurant,N/A,3.1479535,101.7072600
Grand Harbour Restaurant (Fahrenheit 88),restaurant,N/A,3.1467796,101.7135243
Mala Tang Jalan Sultan,restaurant,N/A,3.1432363,101.6987369
McDonald's,fast_food,burger,3.1424588,101.7107341
Sindbad,restaurant,N/A,3.1412661,101.7097719
Ching Ching by Pandan Republic,cafe,coffee_shop;ice_cream;malaysian;tea,3.1416100,101.6975691
The Hungry Tapir,restaurant,western,3.1417953,101.6977197
Jusu,cafe,smoothie;milk_shake;juice,3.1471565,101.7109344
Pik Wah Restaurant Chinwoo Stadium KL,restaurant,chinese;seafood,3.1414372,101.6988598
Restoran Telawi,restaurant,mamak,3.1429839,101.6934641
Nero Nero,restaurant,italian,3.1459105,101.6618667
Burger King,fast_food,burger,3.1444268,101.7098170
Starbucks,cafe,coffee_shop,3.1470564,101.6995006
Purradise,cafe,N/A,3.1402659,101.6284402
Dua by Skohns,restaurant,N/A,3.1397897,101.6283825
NZ Curry House,restaurant,N/A,3.1492611,101.7117604
Balquis,restaurant,arabic;yemeni,3.1476764,101.7038884
Hobby n Coffee,cafe,N/A,3.1404008,101.6288851
Alison Soup Hse,restaurant,N/A,3.1404698,101.6290735
Al Norul,restaurant,indian,3.1452307,101.7099373
Vojon Bilash,restaurant,bangladeshi,3.1471767,101.7097804
Food Village,restaurant,N/A,3.1471970,101.7096010
Thai Somtam Seafood,restaurant,thai,3.1471736,101.7098535
Mezbani,restaurant,N/A,3.1474678,101.7091107
Bachelor Point,restaurant,bangladeshi,3.1478193,101.7090368
Halab Express,restaurant,shawarma;middle_eastern;arabic,3.1477511,101.7087672
Arabella,restaurant,arab,3.1487672,101.7091346
Histana Maju,restaurant,indian,3.1490136,101.7092325
Shawarma on the way,restaurant,N/A,3.1472703,101.7086708
dipndip,cafe,N/A,3.1484423,101.7127044
The Ship,restaurant,steak_house,3.1482135,101.7112058
Capitol Cafe,restaurant,N/A,3.1477233,101.7114876
Ruposhi Bangla,restaurant,bangladeshi,3.1483436,101.7094134
Delizia,restaurant,N/A,3.1473604,101.7092889
Kam Fatt,restaurant,chinese,3.1460754,101.7078600
Kathmandu,cafe,N/A,3.1457378,101.7074366
Mao Jia,restaurant,chinese,3.1462496,101.7076401
Roshona Bilash,restaurant,bangladeshi,3.1465853,101.7080385
Alifa,restaurant,N/A,3.1466961,101.7081595
La Moon,restaurant,thai,3.1382852,101.6300395
Kenny Hills Bakers,restaurant,bakery,3.1384358,101.6300981
Mesui Grill,restaurant,N/A,3.1487603,101.7082698
The Wildflowers,restaurant,N/A,3.1413471,101.6979047
Asia Street Food Club,restaurant,N/A,3.1414748,101.6979021
Nasi Ayam Kam Kee,restaurant,malaysian,3.1430781,101.6985707
Coconut Hub,cafe,N/A,3.1429806,101.6985783
Pau Goreng Lembu Hai Kee,restaurant,N/A,3.1429582,101.6985778
China  Town Seng Kee,restaurant,chinese,3.1433454,101.6985658
Neighbour Club,restaurant,N/A,3.1439265,101.6985639
Happy City Steamboat,restaurant,N/A,3.1525414,101.5954036
3 Man Restaurant,restaurant,N/A,3.1501608,101.5931969
Restoran Jin Xuan Hong Kong,restaurant,N/A,3.1509433,101.5940684
Mee Tarik Jalan Sultan,restaurant,malaysian,3.1526787,101.5922352
Subway,fast_food,sandwich,3.1531581,101.5949554
Pizza Hut Delivery,fast_food,pizza,3.1531631,101.5947752
Domino's,fast_food,pizza,3.1518678,101.5940045
Uncle Don's (Kota Damansara),restaurant,N/A,3.1531973,101.5944683
Sun Thai Food,restaurant,malaysian,3.1532480,101.5941326
Meng Kee,restaurant,chinese,3.1480579,101.7103312
Suriani,restaurant,N/A,3.1474198,101.7098836
The Other Guys,restaurant,N/A,3.1479239,101.7102327
Congkak,restaurant,malaysian,3.1479910,101.7102820
Private Corner,cafe,N/A,3.1465570,101.7041664
Planet Cafe @ Planetarium Negara,cafe,N/A,3.1392080,101.6894688
Subway,fast_food,sandwich,3.1477002,101.5752050
Nasi Lemak Ayam Berempah,restaurant,N/A,3.1528919,101.5790763
The Black Whale,cafe,N/A,3.1513909,101.5913865
Gyukingu Japanese BBQ,restaurant,japanese;barbecue,3.1517421,101.5912906
Sushi Mentai,restaurant,sushi,3.1520041,101.5944460
Restoran D.U. Cafe,restaurant,chinese,3.1513093,101.5940638
Korean BBQ,restaurant,barbecue,3.1525498,101.5951168
KFC,fast_food,chicken,3.0419293,101.7726894
Restoran Howntown Steamboat,restaurant,N/A,3.1505168,101.5932064
Eat Drink Thai,restaurant,N/A,3.1505589,101.5927873
神来一锅,restaurant,N/A,3.1505648,101.5927319
Damansara Uptown Hokkien Mee,restaurant,N/A,3.1504835,101.5936533
Cottle Coffee,cafe,N/A,3.1491910,101.5948374
Pandan,restaurant,N/A,3.1367745,101.6304439
Kumi,cafe,N/A,3.1438715,101.6573850
Passage Thru India,restaurant,indian,3.1467741,101.7211172
One Seafood,restaurant,seafood,3.1473354,101.7207299
SFS Food Corner,fast_food,N/A,3.1463239,101.7139533
Daboba,cafe,bubble_tea,3.0897543,101.7426157
The Black Whale,cafe,bubble_tea,3.0888991,101.7438500
Restoran Nasi Hadramot,restaurant,kebab;middle_eastern;yemen,3.1475068,101.7108128
Peko Peko,restaurant,japanese,3.1385125,101.6301442
KFC,fast_food,chicken,3.1567305,101.6104706
Starbucks Reserve,cafe,coffee_shop,3.1491377,101.5935074
Taco Bell,fast_food,tex-mex,3.1491396,101.5947431
Siam Eatery House,restaurant,thai;asian,3.1516058,101.5934748
KFC,fast_food,chicken,3.1490108,101.6168970
Machi machi,cafe,bubble_tea,3.1460603,101.7117564
Haidilao Hot Pot,restaurant,chinese;hotpot,3.1474956,101.6151958
Haidilao Hot Pot,restaurant,chinese;hot_pot,3.1491690,101.7135988
Haidilao Hot Pot,restaurant,chinese;hotpot,3.1270732,101.7244540
Five Guys,fast_food,burger,3.1491488,101.7125715
TGI Fridays,restaurant,american,3.1489696,101.6163751
McDonald's,fast_food,burger,3.1341177,101.7229387
KFC,fast_food,chicken,3.1346556,101.7225534
Burger King,fast_food,burger,3.1347673,101.7232169
Pizza Hut,restaurant,pizza,3.1347200,101.7239408
The Chicken Rice Shop,fast_food,malaysian;chicken_rice,3.1340173,101.7237668
Food Empire,food_court,N/A,3.1338705,101.7231988
Mykori Dessert Cafe,cafe,dessert,3.1345611,101.7230978
myBurgerLab,fast_food,N/A,3.1344279,101.7229731
"Ali, Muthu & Ah Hock",restaurant,N/A,3.1377713,101.6297269
Mixue,cafe,ice_cream;bubble_tea,3.1258991,101.7274565
Light Capture,cafe,N/A,3.1470874,101.6964416
Secret Recipe,fast_food,cake;malaysian,3.1465137,101.6957660
GEM Restaurant,restaurant,indian,3.1324172,101.6874178
Restoran 2233,restaurant,N/A,2.9916781,101.7866162
Kedai Makanan Wan Fatt,restaurant,N/A,2.9913004,101.7871205
Fu Pot,restaurant,hotpot,3.1443520,101.7197815
Tealive,cafe,tea;coffee_shop,3.1506544,101.5918172
Starbucks,cafe,coffee_shop,3.1506525,101.5918404
Chagee,cafe,bubble_tea,3.1511234,101.5922518
Food Street Food,food_court,N/A,3.1270220,101.7252762
Raw Kitchen Hall,restaurant,N/A,3.1442195,101.6964684
Restoran Queen’s,restaurant,N/A,3.1309829,101.7230133
Nasi Lemak Peel Road,restaurant,N/A,3.1310575,101.7228995
Cielo Rooftop - Dining and Lounge,restaurant,N/A,3.1482561,101.7064875
Best Town Cafe,restaurant,N/A,3.1112466,101.7300126
Bread & Butter,cafe,N/A,3.1481614,101.7070999
Tealive,cafe,tea;coffee_shop,3.0725049,101.7664425
Burger King,fast_food,burger,3.0908664,101.7415477
