Name,Category,Cuisine,lat,lng
Meteora,cafe,N/A,3.0472564,101.5874798
Old China Café,restaurant,asian,3.1413844,101.6973506
Le Monde Cafe,cafe,N/A,3.1466716,101.6958311
Chilly Pan Mee,restaurant,N/A,3.0472022,101.5868975
Canadian Pizza,fast_food,pizza,3.0471620,101.5868412
Domino's,fast_food,pizza,3.0473803,101.5870678
Restoran Nora,restaurant,N/A,3.0468888,101.5904628
Restoran Yeo Ye,restaurant,N/A,3.0471057,101.5902054
Restoran Goodyear,restaurant,N/A,3.0471821,101.5901061
Restoran Yeo Ye,restaurant,N/A,3.0473361,101.5902496
Restoran Jamali,restaurant,N/A,3.0470455,101.5906037
Restoran Tien Tien Fatt,restaurant,N/A,3.0469772,101.5899345
Subway,fast_food,sandwich,1.3587242,103.7520810
Roofino Bar & Skydining,restaurant,N/A,3.1634702,101.7179064
SugarBun Ara Damansara,fast_food,regional,3.1110649,101.5870475
Am Sande Cafe,restaurant,N/A,3.1106348,101.5864587
Ten Years Ara Damansara,restaurant,N/A,3.1102319,101.5862985
Jerold's,restaurant,N/A,3.1110494,101.5863061
Sisters Place Kopitiam,restaurant,N/A,3.1109560,101.5862695
Sip & Spin Laundry Cafe,cafe,N/A,3.1108546,101.5862329
Stevies Cafe,cafe,N/A,3.1106353,101.5861597
Dark & Twisted,cafe,N/A,3.1100305,101.5861963
Restoran Enak,restaurant,N/A,3.1116370,101.5856262
Double A Cafe,cafe,N/A,3.1114661,101.5860545
Penang Road Restaurant,restaurant,N/A,3.1115313,101.5859118
Teh Tarik Place,cafe,N/A,3.1098194,101.5861557
Sushi Q,cafe,N/A,3.1097220,101.5863955
My Oak Bakery & Cafe,cafe,N/A,3.1114838,101.5851434
Fancy Mee,restaurant,N/A,3.1106678,101.5855499
An-Nasuha Beverages,restaurant,indian,3.1519360,101.6973321
Churitto’s,restaurant,N/A,3.1283812,101.6793083
Laksa Pot,restaurant,regional,3.1518176,101.7028692
Nasi Kandar KL Express,restaurant,indian,3.1501594,101.6974903
Anjappar,restaurant,indian,3.1321736,101.6871369
Ramly,fast_food,burger,3.1271362,101.6829107
Seetharam,restaurant,indian,3.1288252,101.6837454
stall next post office,cafe,N/A,3.1013728,101.6434645
Boost,fast_food,juice,3.1489255,101.6967051
Fuego Troika Sky Dining,restaurant,latin_american,3.1583115,101.7179460
Kedai Kopi Lai Foong,restaurant,chinese,3.1453009,101.6967286
Tang City Food Court,food_court,N/A,3.1445107,101.6981807
Unnamed,food_court,cafeteria,3.1381608,101.6874033
Boardwalk,restaurant,N/A,3.1355822,101.6856358
Iketeru,restaurant,japanese,3.1353511,101.6859575
FoodCity,food_court,N/A,1.4036119,103.9062145
Unnamed,fast_food,chinese;dim_sum;bao,3.1434125,101.6985133
Ali Kafe Tom Yam Seafood,restaurant,N/A,3.1167205,101.6696771
Restoran Haslam,restaurant,N/A,3.1166197,101.6689330
The London Circle,restaurant,N/A,3.1164644,101.6676230
Restoran Amjal,restaurant,N/A,3.1182812,101.6650217
Chang Cheng 88 Kopitiam,restaurant,N/A,2.9959306,101.5725298
Pizza Hut,restaurant,pizza,2.9963681,101.5741419
Domino's,fast_food,pizza,2.9963659,101.5742098
Restoran Ali Maju,restaurant,indian,3.1774316,101.7381214
Restoran Aroma,restaurant,indian,3.1302046,101.6835888
Sri Paandi Curry House,restaurant,indian,3.1293643,101.6843368
Muna's Curry House,restaurant,indian,3.1280132,101.6821762
Mawar Merah,restaurant,malaysian,3.1453353,101.6990643
Dolly Dim Sum,restaurant,N/A,3.1597862,101.7139579
Restoran Kim Lian Kee,restaurant,malaysian;chinese;noodle,3.1443421,101.6975031
Canteen Skolah@TAR,restaurant,malaysian,3.1509713,101.6952892
Precious Old China,restaurant,N/A,3.1454428,101.6954569
Hwa Jin Vegetarian Family Restaurant,restaurant,N/A,1.3614922,103.7512605
Selara Johor,restaurant,N/A,3.1767556,101.7371423
Punjabi Rasoi,restaurant,indian,3.1320571,101.6878521
Restoran Khalifah Usj,restaurant,indian,3.0433527,101.5904059
Chayas,restaurant,indian,3.1480680,101.6978600
Atmosphere 360 Revolving Restaurant,restaurant,N/A,3.1528139,101.7039268
Restoran Kader,restaurant,indian,3.1492366,101.6974366
Saravanaa Bhavan,fast_food,indian;south_indian,3.1492772,101.6974697
Palmierra28,restaurant,N/A,3.1410137,101.6980980
Urban Operation,restaurant,N/A,3.1452703,101.6982660
KFC,fast_food,chicken,3.1487571,101.6968290
VR Avenue K KL,restaurant,N/A,3.1594542,101.7135291
The Cantina,cafe,N/A,3.0463846,101.5867554
Pan Mee,cafe,N/A,3.0463270,101.5867580
Warisan Sambal Opah,restaurant,N/A,3.0457404,101.5867084
Rasmeena,restaurant,N/A,3.0457417,101.5863866
Wei Kee,restaurant,N/A,3.0465694,101.5863812
Jang Pin Kitchen,restaurant,N/A,3.0466671,101.5863785
Sushi Zens,restaurant,japanese,3.0468667,101.5865314
Restoran Tek Kee Noodle House,restaurant,N/A,3.0469711,101.5866320
Healthy Vegetarian,restaurant,N/A,3.0467314,101.5869800
Khean Tim Sum Restaurant,restaurant,N/A,3.0467716,101.5870216
Chinese Muslim Food Paradise SDN BHD,restaurant,N/A,3.0465908,101.5868023
Hotspin,cafe,N/A,3.0466979,101.5872489
McDonald's,fast_food,burger,3.1346045,101.6863202
Subway,fast_food,sandwich,3.1359541,101.6889358
Gopala,restaurant,N/A,3.1299588,101.6838260
Fatty Crab CASH ONLY,restaurant,regional;malaysian,3.1149203,101.6125790
Hon Kee Porridge,restaurant,chinese,3.1443477,101.6978606
Restoran Haji Shahol,restaurant,malay,3.1315067,101.6868132
etc.,cafe,N/A,3.1430594,101.6966318
Texas Chicken,fast_food,chicken,3.1980827,101.7418108
TGI Fridays,restaurant,american,3.1985543,101.7411658
Subway,fast_food,sandwich,3.1985589,101.7419879
Secret Recipe,fast_food,cake;malaysian,3.1983140,101.7421151
OldTown White Coffee,cafe,coffee_shop;malaysian,3.1983684,101.7409705
Octopus Sushi & Thai,restaurant,japanese;thai,3.1982625,101.7412509
Hailam Kopitiam,cafe,N/A,3.1976015,101.7407723
NZ Curry House,restaurant,mamak,3.1971277,101.7415263
Patatimo,restaurant,malaysian,3.1969108,101.7411309
Mee Udang Mak Jah Kuala Sepetang,restaurant,malaysian,3.1969565,101.7406303
Plus Plus Setapak Restaurant,restaurant,chinese,3.2050732,101.7359802
V2 Cyber Cafe,internet_cafe,N/A,3.2053851,101.7356718
Restoran Barakath Noor,restaurant,mamak,3.2049305,101.7361492
Pizza Hut,restaurant,pizza,3.2047450,101.7363390
NZ Curry House,restaurant,mamak,3.1596785,101.7096116
Starbucks,cafe,coffee_shop,3.1618193,101.7118462
Orchid,restaurant,middle_eastern,3.1628113,101.7134663
Secret Garden,cafe,N/A,3.1635886,101.7134608
Banyan Cafe & Restaurant,restaurant,N/A,3.1635254,101.7137249
Sassorosso,restaurant,italian;wine,3.1637372,101.7141646
Maya Mess,restaurant,indian,3.1319348,101.6869027
Quizinn Foodcourt,restaurant,N/A,3.1336019,101.6872045
Little Penang Kafe,restaurant,N/A,3.1583668,101.7127791
Onsemiro,restaurant,korean,3.1613579,101.7202036
Broadway Kopitiam,restaurant,N/A,1.4045914,103.9088893
espressolab,cafe,coffee_shop,3.1277128,101.6787226
RGB & the Beanhive,cafe,coffee_shop;breakfast;diner,3.1647891,101.7189118
Legend's Claypot Briyani House,restaurant,indian,3.1308645,101.6868947
Grizzly,cafe,N/A,3.1615298,101.7201804
SOULed OUT,restaurant,regional;western;indian,3.1600566,101.7226479
Sin Kiew Yee Shin Kee Beef Noodles,restaurant,noodle,3.1450869,101.6969606
Husen Cafe,restaurant,indian;malaysian,3.1330377,101.6889180
Swood Smokehouse,restaurant,N/A,3.1643619,101.7147838
Ubi Kayu,restaurant,N/A,3.0457422,101.5861306
Teppanyaki,cafe,asian,3.1595514,101.7138514
KFC,fast_food,chicken,3.1593440,101.7138814
Peter's Pork Noodle,fast_food,noodle,3.1312470,101.6865895
Jam and Kaya Café,cafe,N/A,3.1012078,101.6463671
Emporium Makan,food_court,N/A,3.1006958,101.6459856
Mandala,restaurant,N/A,3.1474897,101.6957447
Singh Chapati House,restaurant,N/A,3.1318309,101.6875793
Soong Kee Beef Noodle Lao You Ji Porridge,restaurant,noodle;chinese,3.1472562,101.6967965
ABC Bistro Cafe,restaurant,indian,3.1326357,101.6877913
Canteloupe,restaurant,N/A,3.1583924,101.7178846
KFC,fast_food,chicken,3.0832596,101.5876535
Starbucks,cafe,coffee_shop,3.0844870,101.5837429
Limapulo: Baba Can Cook,restaurant,malaysian,3.1582712,101.6995656
Payung Cafe,restaurant,N/A,3.1426579,101.6936549
Foodle,restaurant,N/A,3.1437733,101.6958100
Starbucks,cafe,coffee_shop,3.1273536,101.6787237
Aeon Food Court,food_court,N/A,3.0832822,101.5883607
Starbucks,cafe,coffee_shop,3.1178800,101.6769123
Starbucks,cafe,coffee_shop,3.1183585,101.6759801
Subway,fast_food,sandwich,3.1282163,101.6786955
KFC,fast_food,chicken,3.1128938,101.6628318
Starbucks,cafe,coffee_shop,3.1192623,101.6668635
Starbucks,cafe,coffee_shop,3.1595318,101.7002430
Subway,fast_food,sandwich,3.1541264,101.6989500
DBKL Food court,food_court,N/A,3.1306556,101.6873742
KFC,fast_food,chicken,3.1989926,101.5942772
Ho Kow Hainam Kopitiam,cafe,N/A,3.1413488,101.6976799
Starbucks,cafe,coffee_shop,3.1334558,101.6869574
Happy Hawkers,fast_food,N/A,1.4047243,103.9087016
Sweet Potato Balls Petaling Street,fast_food,N/A,3.1445184,101.6980566
Kim Soya Bean,fast_food,malaysian;dessert,3.1443381,101.6976014
Limkee Cafe,cafe,N/A,3.1438163,101.6985690
Sunrise Roast Duck,restaurant,chinese;barbecue,3.1084769,101.6226564
Bubble Bee Cafe,cafe,N/A,3.1416868,101.6978900
Nine Dragon Char Chan Teng,restaurant,N/A,3.1416107,101.6980586
Leaf & Co,cafe,N/A,3.1429152,101.6987455
Roast Duck Rice,restaurant,N/A,3.0996661,101.6444676
Warung Wok,restaurant,N/A,3.1362070,101.6908704
Gavel Coffee Kitchen Craft beers,cafe,international,3.1576657,101.7002815
Starbucks,cafe,coffee_shop,3.0861636,101.5866104
Tealive,cafe,tea;coffee_shop,3.0829449,101.5876870
Sushi King,restaurant,sushi;japanese,3.0827770,101.5877212
Tealive,cafe,tea;coffee_shop,3.0822863,101.5858633
Resepi Ayah,fast_food,N/A,3.1452388,101.6979244
Deen Shakila,restaurant,malaysian,3.1521256,101.6964494
Restoran Al Azad,restaurant,N/A,3.1572706,101.7010514
Dr.inc,restaurant,N/A,3.1296663,101.6798655
Koon Kee Wan Tan Mee,fast_food,chinese,3.1443268,101.6979330
ACE Corner,cafe,N/A,3.1575300,101.7015343
Nasi Kandar Mamak Cafe,restaurant,indian,3.1550506,101.7001763
Di Naina,food_court,indian;malaysian,3.1531850,101.6988417
Restoran Gerak 23,restaurant,malaysian;thai,3.1606779,101.7024532
Kak Mah,restaurant,malaysian,3.1591440,101.7020013
Restoran Han Kee,restaurant,chinese,3.1431890,101.6985691
Restoran Pik Wah,restaurant,N/A,3.1430023,101.7003727
Unnamed,restaurant,N/A,1.3589001,103.7503097
Awesome Canteen,cafe,N/A,3.1061434,101.6248759
Thai Syok,fast_food,N/A,3.1583052,101.7147683
Clay Pot Street Food,fast_food,N/A,3.1443937,101.6986453
Plan B 2.0,cafe,N/A,3.1163256,101.6766291
Tong Roast,fast_food,N/A,3.1483908,101.6981785
Junk Cafe,restaurant,N/A,3.1418364,101.6980260
Bacha Coffee,cafe,"viele Kaffesorten, Internationale Küche",3.1573634,101.7129039
N97,restaurant,N/A,3.1224478,101.6711392
Fuel Shack,fast_food,burger,3.1595146,101.6999509
Fuel Shack,fast_food,burger,3.1574254,101.7120746
Breakfast Spot Petaling Street,cafe,N/A,3.1412978,101.6980874
define:food,restaurant,N/A,3.1182560,101.6765064
NY Burger co,restaurant,burger,3.1186119,101.6780282
Ra-Ft Café/Bistro,cafe,european,3.1587416,101.7174746
Station Cafe,cafe,N/A,3.1379878,101.6875075
La Juiceria Superfoods Signature,restaurant,N/A,3.1258083,101.6751925
Basher Bistro,restaurant,N/A,3.1485209,101.6969518
Starbucks,cafe,coffee_shop,3.1585907,101.7139814
Vintage 1988,cafe,cake;coffee_shop;deli,3.1428583,101.6985774
MTR,restaurant,indian,3.1315324,101.6872737
I'dahlia Corner,restaurant,malay,3.1527478,101.7187295
Mixue,cafe,ice_cream;bubble_tea,3.1437953,101.6987392
Marini's on 57 - Restaurant,restaurant,italian,3.1564119,101.7114703
Texas Chicken,fast_food,chicken,3.1455387,101.6974356
Svago,restaurant,N/A,3.1565064,101.7122399
Dome,restaurant,N/A,3.1567111,101.7122161
Vege Life Cafe,restaurant,N/A,3.1134446,101.6045043
Highland Viet Cafe,restaurant,vietnamese,3.1137647,101.6026228
Santa,restaurant,indian,3.1491897,101.6981131
KLCG,restaurant,coffee_shop,3.1470962,101.6956792
Lilibet Cafe,cafe,N/A,3.1492319,101.6981482
Sin Hoy How,cafe,N/A,3.1492705,101.6981838
Jokopi,cafe,N/A,3.1493576,101.6982538
Sushi Zanmai,restaurant,japanese,3.1332558,101.6866541
Mansion Tea Stall,restaurant,indian,3.1519935,101.6974231
Syed Bistro,restaurant,indian,3.1565574,101.6991830
Chinese Hawker Centre,food_court,N/A,3.1330606,101.6892872
ABC One Bistro Banana Leaf 24 Hrs,restaurant,indian,3.1322493,101.6880770
Chinese Food & Baos,restaurant,N/A,3.1327782,101.6889460
Jai Hind,restaurant,indian;malaysian,3.1510496,101.6960037
Aachi Mess,restaurant,indian,3.1346109,101.6918461
Starbucks,cafe,coffee_shop,3.1322045,101.6865178
Bean Brothers,cafe,N/A,3.1597975,101.7210678
Bunn Choon,cafe,chinese,3.1413522,101.6976066
Unnamed,restaurant,N/A,3.2207505,101.7207688
illy Cafe,cafe,coffee_shop;cake,3.1582947,101.7124020
Vinny Jeyaa,restaurant,indian,3.1432525,101.6958615
Salad Atelier (L2),restaurant,N/A,3.1595781,101.7134915
Wrap n'go,restaurant,N/A,3.1447940,101.6958470
Mingle Cafe,cafe,coffee_shop,3.1429692,101.6987448
Anwar Maju,restaurant,N/A,2.9952570,101.5743186
Lucky Loke,restaurant,N/A,3.1093454,101.6117017
Stadium Negara,restaurant,chinese,3.1621649,101.7135696
Starbucks,cafe,coffee_shop,3.1593184,101.7140585
Coliseum Cafe & Hotel Jln Tuanku Abdul Rahman,restaurant,N/A,3.1536296,101.6964577
Umi Sushi,restaurant,N/A,1.3592698,103.7518560
food clique,food_court,N/A,1.3620510,103.7512371
Happy Sunshine Bubble Tea,cafe,N/A,1.3625671,103.7512212
Meng Soon Huat Food Centre,food_court,N/A,1.3610748,103.7512752
Mr Bean,cafe,N/A,1.3592719,103.7519176
Mari Mari,restaurant,N/A,1.3591896,103.7520696
Liho,cafe,bubble_tea,1.3592674,103.7517875
Tar Boosh,restaurant,N/A,3.1333137,101.6883467
