ID,Name,Category,Subcategory,lat,lng,Nearest Station,Distance (m)
KE0252,Hon Kee Porridge,Food,Restaurant,3.1443477,101.6978606,KG16 Pasar Seni,276.6
KE0253,Restoran Haji Shahol,Food,Restaurant,3.1315067,101.6868132,MR1 KL Sentral (Monorail),179.4
KE0254,etc.,Food,Cafe,3.1430594,101.6966318,KG16 Pasar Seni,80.9
KE0255,Wangsa Bowl,Entertainment,Bowling Alley,3.1979647,101.741302,KJ4 Sri Rampai,456.3
KE0256,CP Amusement,Entertainment,Amusement Arcade,3.1981643,101.7415337,KJ4 Sri Rampai,475.8
KE0257,Texas Chicken,Food,Fast Food,3.1980827,101.7418108,KJ4 Sri Rampai,507.8
KE0258,TGI Fridays,Food,Restaurant,3.1985543,101.7411658,KJ4 Sri Rampai,427.9
KE0259,Subway,Food,Fast Food,3.1985589,101.7419879,KJ4 Sri Rampai,518.3
KE0260,Secret Recipe,Food,Fast Food,3.198314,101.7421151,KJ4 Sri Rampai,536.1
KE0261,OldTown White Coffee,Food,Cafe,3.1983684,101.7409705,KJ4 Sri Rampai,409.9
KE0262,Octopus Sushi & Thai,Food,Restaurant,3.1982625,101.7412509,KJ4 Sri Rampai,442.8
KE0263,Hailam Kopitiam,Food,Cafe,3.1976015,101.7407723,KJ4 Sri Rampai,414.5
KE0264,NZ Curry House,Food,Restaurant,3.1971277,101.7415263,KJ4 Sri Rampai,512.5
KE0265,Patatimo,Food,Restaurant,3.1969108,101.7411309,KJ4 Sri Rampai,484.7
KE0266,Mee Udang Mak Jah Kuala Sepetang,Food,Restaurant,3.1969565,101.7406303,KJ4 Sri Rampai,434.6
KE0267,Plus Plus Setapak Restaurant,Food,Restaurant,3.2050732,101.7359802,KJ3 Wangsa Maju,458.3
KE0268,V2 Cyber Cafe,Other,Internet Cafe,3.2053851,101.7356718,KJ3 Wangsa Maju,419.8
KE0269,Restoran Barakath Noor,Food,Restaurant,3.2049305,101.7361492,KJ3 Wangsa Maju,479.6
KE0270,Pizza Hut,Food,Restaurant,3.204745,101.736339,KJ3 Wangsa Maju,504.4
KE0271,NZ Curry House,Food,Restaurant,3.1596785,101.7096116,KJ10 KLCC,419.6
KE0272,Starbucks,Food,Cafe,3.1618193,101.7118462,KJ10 KLCC,332.1
KE0273,Orchid,Food,Restaurant,3.1628113,101.7134663,KJ10 KLCC,396.5
KE0274,Secret Garden,Food,Cafe,3.1635886,101.7134608,KJ10 KLCC,482.9
